elo_diff,streak_diff,months_since_diff,exp_diff,target
0.0,0,0.0,0,0
0.0,0,0.0,0,0
28.799999999999955,1,-12.166666666666666,1,1
-28.799999999999955,0,-12.166666666666666,1,1
-43.476740419160706,-2,12.166666666666666,-2,0
-14.676740419160751,0,-12.166666666666666,1,1
-17.32325958083925,0,-12.166666666666666,1,1
-11.476740419160706,1,-12.166666666666666,2,1
57.48494821763302,3,-12.166666666666666,3,1
-14.008207798472313,0,-12.166666666666666,1,1
-15.339136405966883,-1,12.166666666666666,-2,0
30.015876825127634,0,12.166666666666666,-1,0
0.0,0,0.0,0,1
-0.5261544348511507,1,-12.166666666666666,2,1
10.948409141766206,-1,0.0,-2,0
0.0,0,0.0,0,0
0.0,0,0.0,0,1
28.799999999999955,0,12.166666666666666,-1,0
16.0,1,-12.166666666666666,1,1
0.0,0,0.0,0,1
-70.86156363682608,-4,6.1,-4,0
54.8427764955361,4,0.0,4,1
-97.13794287761925,-6,12.166666666666666,-6,0
11.639657856845133,0,12.166666666666666,-1,0
28.799999999999955,1,-8.899999999999999,1,1
4.896167748612243,1,-12.166666666666666,2,1
108.77760073446439,7,-12.166666666666666,7,1
0.0,0,0.0,0,1
16.535825605457376,0,12.166666666666666,-1,0
15.304833617916756,0,-12.166666666666666,2,1
0.0,0,0.0,0,1
4.670705816055033,1,0.0,2,1
0.0,0,0.0,0,0
28.799999999999955,1,-8.433333333333334,1,1
0.0,0,0.0,0,0
0.0,0,0.0,0,1
0.0,0,0.0,0,0
12.799999999999955,0,0.0,0,1
-20.455624820966705,-2,0.0,-3,0
7.0225033697624895,2,0.0,3,1
35.76394996943418,3,-7.000000000000001,4,0
-4.6682109490702715,0,3.7333333333333334,-1,0
4.678706758659246,1,-12.166666666666666,3,1
15.784550614583395,0,12.166666666666666,-1,0
0.0,0,0.0,0,0
-34.75883774903832,-3,-4.166666666666666,-4,0
30.107530284188442,0,12.166666666666666,-1,0
14.322979669605047,1,-12.166666666666666,2,1
31.559571944474555,0,12.166666666666666,-2,0
-20.39954539457881,2,-3.2666666666666666,1,1
-1.181946806427959,-1,10.299999999999999,-2,1
1.7352268622432803,1,18.2,2,0
-27.716028007115938,0,-12.166666666666666,3,1
60.97788429924685,2,-5.133333333333334,1,1
-19.65553687614488,-1,-12.133333333333333,-1,1
10.442358376481707,-1,12.166666666666666,-4,0
0.0,0,0.0,0,1
0.0,0,0.0,0,0
28.799999999999955,1,-10.299999999999999,1,1
-14.553292190084221,0,12.166666666666666,-4,0
-24.19578650042172,3,0.0,-2,0
-35.68415886457774,-3,-3.3,3,1
34.54856417133146,-1,-5.166666666666667,5,1
-16.22718756208519,-1,5.166666666666667,-3,0
71.67616336226729,0,-3.3,4,1
15.954567483109713,2,12.166666666666666,-2,0
13.153902041866786,1,-8.866666666666667,2,1
15.784919004911671,1,-5.133333333333334,-1,0
-9.960193551011344,1,12.166666666666666,-1,0
73.89705876507219,3,-10.266666666666666,2,1
0.0,0,0.0,0,1
-28.799999999999955,0,-12.166666666666666,1,1
28.799999999999955,1,-12.166666666666666,1,1
-26.418132754489307,0,-12.166666666666666,1,1
31.181867245510603,0,12.166666666666666,-1,0
6.477745739926149,0,-10.1,6,1
-55.21813275448926,-2,12.166666666666666,-2,0
-2.381867245510648,-1,12.166666666666666,-2,0
0.0,0,0.0,0,1
31.2894770906164,0,1.8999999999999986,-1,0
0.0,0,0.0,0,1
30.984430066134564,2,-9.133333333333333,3,0
-28.54843172829328,-2,7.066666666666666,-3,0
79.47908552641388,3,-9.133333333333333,3,1
-29.88121269461908,1,-2.0666666666666664,-6,0
101.80338793940155,4,-10.299999999999999,4,0
37.38247724000439,1,-1.8666666666666667,-3,1
64.79808761888648,0,-12.166666666666666,5,1
-14.662262845287614,0,-12.166666666666666,5,1
23.490111579490076,0,12.166666666666666,-1,0
33.300922848601886,-2,-1.8666666666666667,2,1
20.567536524650677,1,-17.5,1,1
26.418132754489307,0,1.8999999999999986,-1,0
-51.290386246313346,-2,12.166666666666666,-2,0
61.6885268256749,1,2.0666666666666673,4,0
68.61529350085107,2,0.0,1,1
-13.74973232301545,1,-4.933333333333333,2,1
-5.823540278506471,2,2.3333333333333335,-3,0
99.05446556419952,4,-12.166666666666666,4,1
0.0,0,0.0,0,1
1.379245359565175,1,-12.166666666666666,2,1
-15.930983587456922,0,-12.166666666666666,3,1
73.15935307270297,1,2.3333333333333335,0,1
0.30296186889199817,1,6.8,-7,0
-98.07675084469133,-3,4.933333333333334,-3,0
-47.608001265988605,-1,0.0,-5,1
44.947203317014555,-1,4.199999999999999,1,1
-123.26326907757425,-3,4.933333333333334,-3,0
-48.3935399240072,0,4.933333333333334,-4,0
57.22493739391257,0,-6.8,7,1
-28.799999999999955,0,-5.366666666666666,1,1
13.658959036109536,1,24.066666666666666,0,0
0.0,0,0.0,0,1
0.0,0,0.0,0,0
-2.883135891245729,-2,7.499999999999999,-3,0
0.0,0,0.0,0,0
-17.31572909712986,-2,7.499999999999999,-3,0
0.0,0,0.0,0,1
-10.049634375630603,2,0.0,3,1
-15.881562510598314,-2,0.0,-3,1
-7.65913753452719,1,-4.2,-6,1
22.505480340014856,0,2.0666666666666664,8,0
0.0,0,0.0,0,0
55.21813275448926,2,13.966666666666667,2,1
-28.799999999999955,-1,12.166666666666666,-1,0
28.799999999999955,0,12.166666666666666,-1,0
-31.181867245510603,0,-6.366666666666666,1,1
13.478307095513628,0,12.166666666666666,-1,0
0.0,0,0.0,0,1
96.17108762166322,3,-33.13333333333333,2,1
126.96520176945751,6,-6.499999999999999,6,0
0.0,0,0.0,0,1
15.936483737564686,0,1.8333333333333321,-1,1
-15.701723345527853,0,5.4,1,1
0.0,0,0.0,0,1
-24.579001492483485,0,0.5,1,0
-0.24708432221109433,0,4.433333333333333,-5,1
12.799999999999955,0,0.0,0,1
-10.75458475093933,0,0.0,0,0
42.27085459327691,2,-9.433333333333334,2,1
-29.15821195099602,1,-1.9333333333333336,-10,1
-46.10175814533932,-1,0.0,-1,1
-56.33375830193677,-3,12.166666666666666,-3,0
15.266612068453924,1,-9.433333333333334,1,1
8.671193730003324,0,10.200000000000001,5,1
-14.06290370865986,0,-12.166666666666666,1,1
28.799999999999955,0,1.5999999999999996,-1,0
33.41845060068158,0,-10.0,12,1
-44.21080476087582,-2,7.266666666666666,-2,1
-40.03775065488162,1,22.366666666666667,-1,0
0.0,0,0.0,0,0
37.13646281015235,1,0.0,1,1
7.29332549042374,1,3.200000000000001,3,0
0.0,0,0.0,0,0
-9.027299040142452,-4,-10.566666666666666,-2,0
-18.025064437789297,-1,9.433333333333334,-1,0
0.0,0,0.0,0,1
-16.0,0,-12.166666666666666,1,1
0.0,0,0.0,0,1
16.0,1,-12.166666666666666,1,1
0.0,0,0.0,0,0
15.297398668065625,0,5.166666666666666,-1,1
0.0,0,0.0,0,0
0.0,0,0.0,0,0
0.0,0,0.0,0,1
47.88420265554919,1,-7.333333333333333,13,1
0.0,0,0.0,0,0
105.36532150458083,0,-2.4333333333333336,7,0
45.33225072484561,2,-10.066666666666666,2,1
72.73987680592518,2,-7.033333333333332,14,0
-71.14356639355037,-1,2.1999999999999993,-5,0
2.4636932064779558,1,0.0,1,1
